artist,main_title,english_title
Αντωνης Κατιναρης,אנטוניוס קטינאריס,Αντώνης Κατινάρης
Αντωνης Κατιναρης,,
Βαμβακαρης Μαρκος,מרקוס ומוואקאריס,Μάρκος Βαμβακάρης
Βαμβακαρης Στελιος,סטליוס ומוואקאריס,Στέλιος Βαμβακάρης
Βασιλειαδης Βασιλης,ואסיליס ואסיליאידיס,Βασίλης Βασιλειάδης
Βελλας Ιωαννης,,
Βυζας Δημητρης,,
Γαβαλας Γιαννης,,
Γαβαλας Πανος,פאנוס גאוואלאס,Πάνος Γαβαλάς
Γενιτσαρης Μιχαλης,מיכאליס גניצריס,Μιχάλης Γενίτσαρης
Γιωργος Σαμπανης,גאורגוס סבאניס,Γιώργος Σαμπάνης
Δελιας Ανεστης,אנסטיס דליאס,Ανέστος Δελιάς
Δερβενιωτης Θεοδωρος,,
Δημητρης Γκογκος Μπαγιαντερας,דימיטריס גוגוס,Δημήτρης Γκόγκος
Ζαμπετας Γιωργος,יורגוס זמפטאס,Γιώργος Ζαμπέτας
Ζερβας Λευτερης,,
Θανασης Πολυκανδριωτης,תנאסיס פוליקנדריוס,Θανάσης Πολυκανδριώτης
Θανος Μικρουτσικος,ת׳אנוס מיקרוציקוס,Θάνος Μικρούτσικος
Θεοδωρακης Μικης,מיקיס תאודוראקיס,Μίκης Θεοδωράκης
Ιακωβιδης Ζακ,ז׳אק יאקובידיס,Ζακ Ιακωβίδης
Καλδαρας Αποστολος,אפוסטולוס קאלדארס,Απόστολος Καλδάρας
Καπλανης Κωστας,קוסטאס קפלניס,Κώστας Καπλάνης
Καρανικολας Νικος,,
Κορακακης Βαγγελης,,Vangelis Korakakis
Κουγιουμτζης Σταυρος,סטאברוס קויומציס,Σταύρος Κουγιουμτζής
Κωστας Καριπης,קוסטאס קריפיס,Κώστας Καρίπης
Κωστας Μπεζος - Α.κωστης,,Kostis Mpezos
Λαυκας Γιωργος,יורגוס לאפקאס,Γιώργος Λαύκας
Λεμονοπουλος Χαρης,חאריס למונופולוס,Χάρης Λεμονόπουλος
Λοϊζος Μανος,מאנוס לויזוס,Μάνος Λοΐζος
Μαλαμας Σωκρατης,סוקראטיס מלמאס,Σωκράτης Μάλαμας
Μανισαλης Γιωργος,,Giorgos Manisalis
Μανωλης Αγγελοπουλος,מנוליס אנגלופולוס,Μανώλης Αγγελόπουλος
Μανωλης Χιωτης,מנוליס חיוטיס,Μανώλης Χιώτης
Μαρκοπουλος Γιαννης,יואניס מרקופולוס,Γιάννης Μαρκόπουλος
Μητσακης Γιωργος,יורגוס מיצקיס,Γιώργος Μητσάκης
Μιμης Χριστοπουλος,,
Μοσχος Αριστειδης,אריסטידיס משה,Αριστείδης Μόσχος
Μουσαφιρης Τακης,,Takis Mousafiris
Μουτσης Δημος,דימוס מוציס,Δήμος Μούτσης
Μπακαλης Μπαμπης,,Bampis Bakalis
Μπατης Γιωργος,יורגוס באטיס,Γιώργος Μπάτης
Μπιθικωτσης Γρηγορης,גריגוריס מביקוציס,Γρηγόρης Μπιθικώτσης
Μπουρνελης Λεοναρδος,,Leonardos Mpournelis
Νικολοπουλος Χρηστος,כריסטוס ניקולופולוס,Χρήστος Νικολόπουλος
Νταραλας Λουκας,לוקאס דראלאס,Λουκάς Νταράλας
Ξαρχακος Σταυρος,סטברוס קסרכאקוס,Σταύρος Ξαρχάκος
Οδυσσεας Μοσχονας,אודיסיאס מושונאס,Οδυσσέας Μοσχονάς
Παγιουμτζης Στρατος,,Stratos Pagioumtzis
Παναγιωτης Στεργιου,פנגיוטיס סטרג׳ו,Παναγιώτης Στεργίου
Πανου Ακης,אקיס פאנו,Άκης Πάνου
Παπαζογλου Βαγγελης,ונגליס פאפאזוגלו,Βαγγέλης Παπάζογλου
Παπαϊωαννου Γιαννης,ג׳יאניס פאפאיואנו,Γιάννης Παπαϊωάννου
Περιστερης Σπυρος,ספירוס פריסטריס,Σπύρος Περιστέρης
Πετσας Παναγιωτης,,
Πλεσσας Μιμης,מימיס פלסאס,Μίμης Πλέσσας
Προδρομος Τσαουσακης,,Prodromos Tsaousakis
Ρεπανης Αντωνης,,Antonis Repanis
Σκαρβελης Κωστας,קוסטאס סקרבליס,Κώστας Σκαρβέλης
Σπανος Γιαννης,יאניס ספנוס,Γιάννης Σπανός
Στρατος Ατταλιδης,,Stratos Attalidis
Στρατος Καμενιδης,,
Σωτηριου Στελιος,,
Τατασοπουλος Γιαννης,,Giannis Tatasopoulos
Τζουανακος Σταυρος,,Stavros Tzouanakos
Τοκας Μαριος,מאריוס טוקאס,Μάριος Τόκας
